result,iterations,bset_iterations,stdev,regulation
1.25075,20,20,0.2,1.000000
1.24284,40,40,1,1.000000
1.23867,60,60,0.8,1.000000
1.23567,80,80,1,1.000000
1.23567,100,80,1,1.000000
1.23567,120,80,1,1.000000
1.23567,140,80,1,1.000000
1.22805,160,160,1,1.000000
1.22805,180,160,1,1.000000
1.22805,200,160,1,1.000000
1.22805,220,160,1,1.000000
1.22805,240,160,1,1.000000
1.22805,260,160,1,1.000000
1.22805,280,160,1,1.000000
1.22805,300,160,1,1.000000
1.22805,320,160,1,1.000000
1.22805,340,160,1,1.000000
1.22805,360,160,1,1.000000
1.22805,380,160,1,1.000000
1.22805,400,160,1,1.000000
