result,iterations,bset_iterations,stdev,regulation,learnrate
1.22056,20,20,0.2,0.000000,0.0031
1.19727,40,40,0.2,0.000000,0.0016
1.19544,60,60,0.2,0.000000,0.0011
1.19235,80,80,0.2,0.000000,0.0006
1.19235,100,80,0.2,0.000000,0.0006
1.19235,120,80,0.2,0.000000,0.0006
1.19235,140,80,0.2,0.000000,0.0006
1.19235,160,80,0.2,0.000000,0.0006
1.19235,180,80,0.2,0.000000,0.0006
1.19235,200,80,0.2,0.000000,0.0006
1.19235,220,80,0.2,0.000000,0.0006
1.19235,240,80,0.2,0.000000,0.0006
1.19235,260,80,0.2,0.000000,0.0006
1.19235,280,80,0.2,0.000000,0.0006
