result,stdev,iterations,regulation,learnrate
1.26658,0,20,0.000000,0
1.26656,0,20,0.200000,0
1.26655,0,20,0.400000,0
1.26654,0,20,0.600000,0
1.26654,0,20,0.800000,0
1.26653,0,20,1.000000,0
1.29624,0.2,20,0.000000,0
1.27991,0.2,20,0.200000,0
1.26638,0.2,20,0.400000,0
1.26696,0.2,20,0.600000,0
1.26543,0.2,20,0.800000,0
1.25075,0.2,20,1.000000,0
1.28767,0.4,20,0.000000,0
1.26933,0.4,20,0.200000,0
1.27243,0.4,20,0.400000,0
1.26475,0.4,20,0.600000,0
1.27149,0.4,20,0.800000,0
1.25702,0.4,20,1.000000,0
1.28084,0.6,20,0.000000,0
1.2614,0.6,20,0.200000,0
1.25184,0.6,20,0.400000,0
1.25314,0.6,20,0.600000,0
1.25811,0.6,20,0.800000,0
1.25338,0.6,20,1.000000,0
1.27446,0.8,20,0.000000,0
1.27185,0.8,20,0.200000,0
1.26289,0.8,20,0.400000,0
1.2588,0.8,20,0.600000,0
1.25339,0.8,20,0.800000,0
1.25226,0.8,20,1.000000,0
1.27089,1,20,0.000000,0
1.26886,1,20,0.200000,0
1.26821,1,20,0.400000,0
1.25929,1,20,0.600000,0
1.26373,1,20,0.800000,0
1.25334,1,20,1.000000,0
1.26658,0,40,0.000000,0
1.26656,0,40,0.200000,0
1.26655,0,40,0.400000,0
1.26654,0,40,0.600000,0
1.26653,0,40,0.800000,0
1.26652,0,40,1.000000,0
1.30286,0.2,40,0.000000,0
1.28043,0.2,40,0.200000,0
1.27468,0.2,40,0.400000,0
1.27026,0.2,40,0.600000,0
1.26365,0.2,40,0.800000,0
1.26543,0.2,40,1.000000,0
1.28882,0.4,40,0.000000,0
1.27652,0.4,40,0.200000,0
1.28035,0.4,40,0.400000,0
1.26921,0.4,40,0.600000,0
1.25721,0.4,40,0.800000,0
1.25759,0.4,40,1.000000,0
1.28475,0.6,40,0.000000,0
1.2674,0.6,40,0.200000,0
1.25251,0.6,40,0.400000,0
1.26657,0.6,40,0.600000,0
1.25919,0.6,40,0.800000,0
1.25326,0.6,40,1.000000,0
1.27945,0.8,40,0.000000,0
1.25856,0.8,40,0.200000,0
1.2596,0.8,40,0.400000,0
1.25705,0.8,40,0.600000,0
1.24553,0.8,40,0.800000,0
1.24539,0.8,40,1.000000,0
1.26238,1,40,0.000000,0
1.26778,1,40,0.200000,0
1.25229,1,40,0.400000,0
1.24474,1,40,0.600000,0
1.24491,1,40,0.800000,0
1.24284,1,40,1.000000,0
1.26658,0,60,0.000000,0
1.26656,0,60,0.200000,0
1.26655,0,60,0.400000,0
1.26653,0,60,0.600000,0
1.26653,0,60,0.800000,0
1.26652,0,60,1.000000,0
1.29761,0.2,60,0.000000,0
1.28482,0.2,60,0.200000,0
