result,stdev,iterations,regulation,learnrate
1.2746,0,20,0,0
1.18376,0.2,20,0,0
1.18665,0.4,20,0,0
1.19282,0.6,20,0,0
1.21088,0.8,20,0,0
1.23326,1,20,0,0
1.22137,0,40,0,0
1.1779,0.2,40,0,0
1.17636,0.4,40,0,0
1.18238,0.6,40,0,0
1.19354,0.8,40,0,0
1.21025,1,40,0,0
1.1942,0,60,0,0
1.17613,0.2,60,0,0
1.17614,0.4,60,0,0
1.17631,0.6,60,0,0
1.18217,0.8,60,0,0
1.1995,1,60,0,0
1.18694,0,80,0,0
1.17803,0.2,80,0,0
1.17488,0.4,80,0,0
1.17917,0.6,80,0,0
1.17572,0.8,80,0,0
1.18623,1,80,0,0
1.18163,0,100,0,0
1.17554,0.2,100,0,0
1.17909,0.4,100,0,0
1.17483,0.6,100,0,0
1.17594,0.8,100,0,0
1.18483,1,100,0,0
1.1803,0,120,0,0
1.17342,0.2,120,0,0
1.17452,0.4,120,0,0
1.17723,0.6,120,0,0
1.17489,0.8,120,0,0
1.18064,1,120,0,0
1.17762,0,140,0,0
1.17414,0.2,140,0,0
1.17559,0.4,140,0,0
1.17601,0.6,140,0,0
1.17592,0.8,140,0,0
1.17622,1,140,0,0
1.17754,0,160,0,0
1.17512,0.2,160,0,0
1.1747,0.4,160,0,0
1.17368,0.6,160,0,0
1.17329,0.8,160,0,0
1.1746,1,160,0,0
1.17642,0,180,0,0
1.17431,0.2,180,0,0
1.17354,0.4,180,0,0
1.17532,0.6,180,0,0
1.17495,0.8,180,0,0
1.17237,1,180,0,0
1.17618,0,200,0,0
1.17405,0.2,200,0,0
1.17566,0.4,200,0,0
1.1756,0.6,200,0,0
1.17329,0.8,200,0,0
1.17654,1,200,0,0
1.17614,0,220,0,0
1.1753,0.2,220,0,0
1.17502,0.4,220,0,0
1.17313,0.6,220,0,0
1.17551,0.8,220,0,0
1.17166,1,220,0,0
1.17412,0,240,0,0
1.17648,0.2,240,0,0
1.17792,0.4,240,0,0
1.17532,0.6,240,0,0
1.17425,0.8,240,0,0
1.17404,1,240,0,0
1.17588,0,260,0,0
1.17536,0.2,260,0,0
1.1747,0.4,260,0,0
1.1753,0.6,260,0,0
1.17363,0.8,260,0,0
1.17362,1,260,0,0
1.17593,0,280,0,0
1.17643,0.2,280,0,0
1.17636,0.4,280,0,0
1.17611,0.6,280,0,0
1.17368,0.8,280,0,0
1.17341,1,280,0,0
1.17578,0,300,0,0
1.17412,0.2,300,0,0
1.17517,0.4,300,0,0
1.17395,0.6,300,0,0
1.17398,0.8,300,0,0
1.17339,1,300,0,0
1.17779,0,320,0,0
1.17555,0.2,320,0,0
1.17427,0.4,320,0,0
1.17566,0.6,320,0,0
1.17446,0.8,320,0,0
1.17239,1,320,0,0
1.17473,0,340,0,0
1.17515,0.2,340,0,0
1.17523,0.4,340,0,0
1.1751,0.6,340,0,0
1.1741,0.8,340,0,0
1.17145,1,340,0,0
1.17461,0,360,0,0
1.17515,0.2,360,0,0
1.17499,0.4,360,0,0
1.17463,0.6,360,0,0
1.17184,0.8,360,0,0
1.17241,1,360,0,0
1.17507,0,380,0,0
1.17487,0.2,380,0,0
1.17539,0.4,380,0,0
1.17496,0.6,380,0,0
1.17248,0.8,380,0,0
1.17372,1,380,0,0
1.17525,0,400,0,0
1.17507,0.2,400,0,0
1.17489,0.4,400,0,0
1.17629,0.6,400,0,0
1.17237,0.8,400,0,0
1.17402,1,400,0,0
