result,stdev,iterations,regulation,learnrate
1.36721,0,20,0.000000,0.0001
1.29187,0,20,0.000000,0.0006
1.28693,0,20,0.000000,0.0011
1.28703,0,20,0.000000,0.0016
1.28807,0,20,0.000000,0.0021
1.28946,0,20,0.000000,0.0026
1.29109,0,20,0.000000,0.0031
1.29287,0,20,0.000000,0.0036
1.29478,0,20,0.000000,0.0041
1.29677,0,20,0.000000,0.0046
1.29881,0,20,0.000000,0.0051
1.30085,0,20,0.000000,0.0056
1.30286,0,20,0.000000,0.0061
1.30487,0,20,0.000000,0.0066
1.30684,0,20,0.000000,0.0071
1.30881,0,20,0.000000,0.0076
1.31075,0,20,0.000000,0.0081
1.31265,0,20,0.000000,0.0086
1.3145,0,20,0.000000,0.0091
1.3163,0,20,0.000000,0.0096
1.55273,0,20,0.200000,0.0001
1.38469,0,20,0.200000,0.0006
1.36045,0,20,0.200000,0.0011
1.35454,0,20,0.200000,0.0016
1.35501,0,20,0.200000,0.0021
1.35796,0,20,0.200000,0.0026
1.36167,0,20,0.200000,0.0031
1.36534,0,20,0.200000,0.0036
1.36866,0,20,0.200000,0.0041
1.37153,0,20,0.200000,0.0046
1.37391,0,20,0.200000,0.0051
1.37586,0,20,0.200000,0.0056
1.3774,0,20,0.200000,0.0061
1.37861,0,20,0.200000,0.0066
1.37956,0,20,0.200000,0.0071
1.38027,0,20,0.200000,0.0076
1.38079,0,20,0.200000,0.0081
1.38116,0,20,0.200000,0.0086
1.38139,0,20,0.200000,0.0091
1.38153,0,20,0.200000,0.0096
1.72761,0,20,0.400000,0.0001
1.51995,0,20,0.400000,0.0006
1.49786,0,20,0.400000,0.0011
1.49636,0,20,0.400000,0.0016
1.49971,0,20,0.400000,0.0021
1.50373,0,20,0.400000,0.0026
1.50713,0,20,0.400000,0.0031
1.50961,0,20,0.400000,0.0036
1.51122,0,20,0.400000,0.0041
1.5121,0,20,0.400000,0.0046
1.5124,0,20,0.400000,0.0051
1.51227,0,20,0.400000,0.0056
1.51182,0,20,0.400000,0.0061
1.51115,0,20,0.400000,0.0066
1.51032,0,20,0.400000,0.0071
1.5094,0,20,0.400000,0.0076
1.50842,0,20,0.400000,0.0081
1.50742,0,20,0.400000,0.0086
1.50642,0,20,0.400000,0.0091
1.50543,0,20,0.400000,0.0096
1.90568,0,20,0.600000,0.0001
1.67137,0,20,0.600000,0.0006
1.65064,0,20,0.600000,0.0011
1.65064,0,20,0.600000,0.0016
1.65411,0,20,0.600000,0.0021
1.65716,0,20,0.600000,0.0026
1.65901,0,20,0.600000,0.0031
1.65973,0,20,0.600000,0.0036
1.65955,0,20,0.600000,0.0041
1.65873,0,20,0.600000,0.0046
1.65749,0,20,0.600000,0.0051
1.65597,0,20,0.600000,0.0056
1.65432,0,20,0.600000,0.0061
1.6526,0,20,0.600000,0.0066
1.65089,0,20,0.600000,0.0071
1.64922,0,20,0.600000,0.0076
1.64761,0,20,0.600000,0.0081
1.64608,0,20,0.600000,0.0086
1.64465,0,20,0.600000,0.0091
1.6433,0,20,0.600000,0.0096
2.07534,0,20,0.800000,0.0001
1.8241,0,20,0.800000,0.0006
1.80524,0,20,0.800000,0.0011
1.80602,0,20,0.800000,0.0016
1.80871,0,20,0.800000,0.0021
1.81022,0,20,0.800000,0.0026
1.81031,0,20,0.800000,0.0031
1.80932,0,20,0.800000,0.0036
1.80766,0,20,0.800000,0.0041
1.8056,0,20,0.800000,0.0046
1.80336,0,20,0.800000,0.0051
1.80106,0,20,0.800000,0.0056
1.7988,0,20,0.800000,0.0061
1.79662,0,20,0.800000,0.0066
1.79457,0,20,0.800000,0.0071
1.79266,0,20,0.800000,0.0076
1.79089,0,20,0.800000,0.0081
1.78928,0,20,0.800000,0.0086
1.78781,0,20,0.800000,0.0091
1.78649,0,20,0.800000,0.0096
2.23318,0,20,1.000000,0.0001
1.97287,0,20,1.000000,0.0006
1.95677,0,20,1.000000,0.0011
1.958,0,20,1.000000,0.0016
1.95962,0,20,1.000000,0.0021
1.95964,0,20,1.000000,0.0026
1.95831,0,20,1.000000,0.0031
1.95616,0,20,1.000000,0.0036
1.95357,0,20,1.000000,0.0041
1.95082,0,20,1.000000,0.0046
1.94807,0,20,1.000000,0.0051
1.94542,0,20,1.000000,0.0056
1.94294,0,20,1.000000,0.0061
1.94064,0,20,1.000000,0.0066
1.93854,0,20,1.000000,0.0071
1.93665,0,20,1.000000,0.0076
1.93496,0,20,1.000000,0.0081
1.93346,0,20,1.000000,0.0086
1.93215,0,20,1.000000,0.0091
1.93099,0,20,1.000000,0.0096
1.35534,0.2,20,0.000000,0.0001
1.25206,0.2,20,0.000000,0.0006
1.23118,0.2,20,0.000000,0.0011
1.22317,0.2,20,0.000000,0.0016
1.22569,0.2,20,0.000000,0.0021
1.22309,0.2,20,0.000000,0.0026
1.22056,0.2,20,0.000000,0.0031
1.23097,0.2,20,0.000000,0.0036
1.23829,0.2,20,0.000000,0.0041
1.24108,0.2,20,0.000000,0.0046
1.24229,0.2,20,0.000000,0.0051
1.27466,0.2,20,0.000000,0.0056
1.26417,0.2,20,0.000000,0.0061
1.26419,0.2,20,0.000000,0.0066
1.26206,0.2,20,0.000000,0.0071
1.29069,0.2,20,0.000000,0.0076
1.29167,0.2,20,0.000000,0.0081
1.28497,0.2,20,0.000000,0.0086
1.30426,0.2,20,0.000000,0.0091
1.30199,0.2,20,0.000000,0.0096
1.53217,0.2,20,0.200000,0.0001
1.29274,0.2,20,0.200000,0.0006
1.2471,0.2,20,0.200000,0.0011
1.24605,0.2,20,0.200000,0.0016
1.23966,0.2,20,0.200000,0.0021
1.24428,0.2,20,0.200000,0.0026
1.252,0.2,20,0.200000,0.0031
1.25991,0.2,20,0.200000,0.0036
1.25851,0.2,20,0.200000,0.0041
1.26747,0.2,20,0.200000,0.0046
1.26501,0.2,20,0.200000,0.0051
1.27255,0.2,20,0.200000,0.0056
1.28085,0.2,20,0.200000,0.0061
1.28651,0.2,20,0.200000,0.0066
1.29085,0.2,20,0.200000,0.0071
1.29778,0.2,20,0.200000,0.0076
1.29956,0.2,20,0.200000,0.0081
1.31031,0.2,20,0.200000,0.0086
1.31353,0.2,20,0.200000,0.0091
1.31011,0.2,20,0.200000,0.0096
1.6872,0.2,20,0.400000,0.0001
1.31217,0.2,20,0.400000,0.0006
