result|stdev|iterations|regulation
1.25715|0|20|0.000000|0
1.25715|0|200|0.000000|0
1.25715|0|280|0.000000|0
1.25715|0|340|0.000000|0
1.25711|0|20|0.200000|0.0096
1.25708|0|20|0.400000|0.0096
1.25705|0|20|0.600000|0.0096
1.25702|0|20|0.800000|0.0096
1.257|0|20|1.000000|0.0096
1.25711|0|200|0.200000|0.0096
1.28443|0.2|20|0.000000|0.0096
1.25711|0|280|0.200000|0.0096
1.26766|0.2|20|0.200000|0.0096
1.26978|0.2|20|0.400000|0.0096
1.25711|0|340|0.200000|0.0096
1.26094|0.2|20|0.600000|0.0096
1.25708|0|200|0.400000|0.0096
1.25531|0.2|20|0.800000|0.0096
1.25035|0.2|20|1.000000|0.0096
1.27446|0.4|20|0.000000|0.0096
1.25793|0.4|20|0.200000|0.0096
1.25708|0|280|0.400000|0.0096
1.26088|0.4|20|0.400000|0.0096
1.25705|0|200|0.600000|0.0096
1.25648|0.4|20|0.600000|0.0096
1.25708|0|340|0.400000|0.0096
1.25027|0.4|20|0.800000|0.0096
1.24555|0.4|20|1.000000|0.0096
1.26602|0.6|20|0.000000|0.0096
1.25703|0|200|0.800000|0.0096
1.26032|0.6|20|0.200000|0.0096
1.25705|0|280|0.600000|0.0096
1.24986|0.6|20|0.400000|0.0096
1.24729|0.6|20|0.600000|0.0096
1.24758|0.6|20|0.800000|0.0096
1.24556|0.6|20|1.000000|0.0096
1.25705|0|340|0.600000|0.0096
1.257|0|200|1.000000|0.0096
1.26438|0.8|20|0.000000|0.0096
1.25563|0.8|20|0.200000|0.0096
1.25703|0|280|0.800000|0.0096
1.25387|0.8|20|0.400000|0.0096
1.25573|0.8|20|0.600000|0.0096
1.23839|0.8|20|0.800000|0.0096
1.30747|0.2|200|0.000000|0.0096
1.24751|0.8|20|1.000000|0.0096
1.27593|1|20|0.000000|0.0096
1.25703|0|340|0.800000|0.0096
1.26571|1|20|0.200000|0.0096
1.25701|0|280|1.000000|0.0096
1.26319|1|20|0.400000|0.0096
1.25251|1|20|0.600000|0.0096
1.28215|0.2|200|0.200000|0.0096
1.24577|1|20|0.800000|0.0096
1.24558|1|20|1.000000|0.0096
1.25715|0|40|0.000000|0
