result|stdev|iterations|regulation|learnrate
1.35684|0|20|0.000000|0.0001
1.2814|0|20|0.000000|0.0006
1.27682|0|20|0.000000|0.0011
1.27695|0|20|0.000000|0.0016
1.27788|0|20|0.000000|0.0021
1.27911|0|20|0.000000|0.0026
1.28054|0|20|0.000000|0.0031
1.28215|0|20|0.000000|0.0036
1.28392|0|20|0.000000|0.0041
1.28578|0|20|0.000000|0.0046
1.28771|0|20|0.000000|0.0051
1.28965|0|20|0.000000|0.0056
1.29158|0|20|0.000000|0.0061
1.2935|0|20|0.000000|0.0066
1.29543|0|20|0.000000|0.0071
1.25948|0|200|0.000000|0.0001
1.29733|0|20|0.000000|0.0076
1.29919|0|20|0.000000|0.0081
1.30099|0|20|0.000000|0.0086
1.30274|0|20|0.000000|0.0091
1.30443|0|20|0.000000|0.0096
1.2519|0|200|0.000000|0.0006
1.54208|0|20|0.200000|0.0001
1.25783|0|280|0.000000|0.0001
1.37544|0|20|0.200000|0.0006
1.35192|0|20|0.200000|0.0011
1.25234|0|200|0.000000|0.0011
1.34577|0|20|0.200000|0.0016
1.346|0|20|0.200000|0.0021
1.25729|0|340|0.000000|0.0001
1.34878|0|20|0.200000|0.0026
1.35243|0|20|0.200000|0.0031
1.25376|0|280|0.000000|0.0006
1.35618|0|20|0.200000|0.0036
1.2531|0|200|0.000000|0.0016
1.35964|0|20|0.200000|0.0041
1.36264|0|20|0.200000|0.0046
1.36517|0|20|0.200000|0.0051
1.36726|0|20|0.200000|0.0056
1.25394|0|200|0.000000|0.0021
1.25651|0|340|0.000000|0.0006
1.36897|0|20|0.200000|0.0061
1.25282|0|280|0.000000|0.0011
1.37032|0|20|0.200000|0.0066
1.37136|0|20|0.200000|0.0071
1.37218|0|20|0.200000|0.0076
1.25492|0|200|0.000000|0.0026
1.37282|0|20|0.200000|0.0081
1.37333|0|20|0.200000|0.0086
1.37372|0|20|0.200000|0.0091
1.25254|0|280|0.000000|0.0016
1.37402|0|20|0.200000|0.0096
1.25607|0|340|0.000000|0.0011
1.25602|0|200|0.000000|0.0031
1.71776|0|20|0.400000|0.0001
1.51263|0|20|0.400000|0.0006
1.49183|0|20|0.400000|0.0011
1.49088|0|20|0.400000|0.0016
1.25272|0|280|0.000000|0.0021
1.25723|0|200|0.000000|0.0036
1.49425|0|20|0.400000|0.0021
1.49818|0|20|0.400000|0.0026
1.25569|0|340|0.000000|0.0016
1.50144|0|20|0.400000|0.0031
1.5038|0|20|0.400000|0.0036
1.50527|0|20|0.400000|0.0041
1.25853|0|200|0.000000|0.0041
1.50602|0|20|0.400000|0.0046
1.2533|0|280|0.000000|0.0026
1.50619|0|20|0.400000|0.0051
1.50591|0|20|0.400000|0.0056
1.50535|0|20|0.400000|0.0061
1.25551|0|340|0.000000|0.0021
1.50458|0|20|0.400000|0.0066
1.25994|0|200|0.000000|0.0046
1.50369|0|20|0.400000|0.0071
1.50274|0|20|0.400000|0.0076
1.25416|0|280|0.000000|0.0031
1.50177|0|20|0.400000|0.0081
1.5008|0|20|0.400000|0.0086
1.26144|0|200|0.000000|0.0051
1.49987|0|20|0.400000|0.0091
1.49897|0|20|0.400000|0.0096
1.25559|0|340|0.000000|0.0026
1.89449|0|20|0.600000|0.0001
1.25522|0|280|0.000000|0.0036
1.26299|0|200|0.000000|0.0056
1.66516|0|20|0.600000|0.0006
1.64647|0|20|0.600000|0.0011
1.64717|0|20|0.600000|0.0016
1.6507|0|20|0.600000|0.0021
1.65349|0|20|0.600000|0.0026
1.26457|0|200|0.000000|0.0061
1.25643|0|280|0.000000|0.0041
1.65498|0|20|0.600000|0.0031
1.25596|0|340|0.000000|0.0031
1.65524|0|20|0.600000|0.0036
1.65456|0|20|0.600000|0.0041
1.65327|0|20|0.600000|0.0046
1.26614|0|200|0.000000|0.0066
1.65159|0|20|0.600000|0.0051
1.64974|0|20|0.600000|0.0056
1.25776|0|280|0.000000|0.0046
1.64782|0|20|0.600000|0.0061
1.64592|0|20|0.600000|0.0066
1.25657|0|340|0.000000|0.0036
1.64408|0|20|0.600000|0.0071
1.26773|0|200|0.000000|0.0071
1.64234|0|20|0.600000|0.0076
1.64073|0|20|0.600000|0.0081
1.63925|0|20|0.600000|0.0086
1.63792|0|20|0.600000|0.0091
1.25919|0|280|0.000000|0.0051
1.26929|0|200|0.000000|0.0076
1.63672|0|20|0.600000|0.0096
2.06348|0|20|0.800000|0.0001
1.25741|0|340|0.000000|0.0041
1.81889|0|20|0.800000|0.0006
1.8025|0|20|0.800000|0.0011
1.27084|0|200|0.000000|0.0081
1.80387|0|20|0.800000|0.0016
1.26071|0|280|0.000000|0.0056
1.80647|0|20|0.800000|0.0021
1.80755|0|20|0.800000|0.0026
1.80703|0|20|0.800000|0.0031
1.27235|0|200|0.000000|0.0086
1.8054|0|20|0.800000|0.0036
1.80311|0|20|0.800000|0.0041
1.25838|0|340|0.000000|0.0046
1.26231|0|280|0.000000|0.0061
1.8005|0|20|0.800000|0.0046
1.79778|0|20|0.800000|0.0051
1.7951|0|20|0.800000|0.0056
1.27384|0|200|0.000000|0.0091
1.79257|0|20|0.800000|0.0061
1.79024|0|20|0.800000|0.0066
1.78812|0|20|0.800000|0.0071
1.26392|0|280|0.000000|0.0066
1.25946|0|340|0.000000|0.0051
1.78623|0|20|0.800000|0.0076
1.2753|0|200|0.000000|0.0096
1.78457|0|20|0.800000|0.0081
1.78311|0|20|0.800000|0.0086
1.78185|0|20|0.800000|0.0091
1.78078|0|20|0.800000|0.0096
1.26554|0|280|0.000000|0.0071
2.22222|0|20|1.000000|0.0001
1.96898|0|20|1.000000|0.0006
1.26062|0|340|0.000000|0.0056
1.95502|0|20|1.000000|0.0011
1.95655|0|20|1.000000|0.0016
1.95777|0|20|1.000000|0.0021
1.95703|0|20|1.000000|0.0026
1.35795|0|200|0.200000|0.0001
1.95482|0|20|1.000000|0.0031
1.26715|0|280|0.000000|0.0076
1.95178|0|20|1.000000|0.0036
1.9484|0|20|1.000000|0.0041
1.26186|0|340|0.000000|0.0061
1.94498|0|20|1.000000|0.0046
1.34406|0|200|0.200000|0.0006
1.94172|0|20|1.000000|0.0051
1.93873|0|20|1.000000|0.0056
1.93605|0|20|1.000000|0.0061
1.26877|0|280|0.000000|0.0081
1.93369|0|20|1.000000|0.0066
1.93165|0|20|1.000000|0.0071
1.35493|0|200|0.200000|0.0011
1.92992|0|20|1.000000|0.0076
1.92847|0|20|1.000000|0.0081
1.26315|0|340|0.000000|0.0066
1.92728|0|20|1.000000|0.0086
1.92631|0|20|1.000000|0.0091
1.27038|0|280|0.000000|0.0086
1.3588|0|200|0.200000|0.0016
1.92554|0|20|1.000000|0.0096
1.34053|0.2|20|0.000000|0.0001
1.25276|0.2|20|0.000000|0.0006
1.36047|0|200|0.200000|0.0021
1.26448|0|340|0.000000|0.0071
1.23343|0.2|20|0.000000|0.0011
1.27196|0|280|0.000000|0.0091
1.22453|0.2|20|0.000000|0.0016
1.22914|0.2|20|0.000000|0.0021
1.23502|0.2|20|0.000000|0.0026
1.36177|0|200|0.200000|0.0026
1.2364|0.2|20|0.000000|0.0031
1.23538|0.2|20|0.000000|0.0036
1.24282|0.2|20|0.000000|0.0041
